platform,meme_template,search_query,post_id,author_handle,author_display,caption,alt_text,image_url,likes,reposts,replies,created_at,indexed_at,post_url,collection_timestamp
bluesky,change my mind,change my mind meme,at://did:plc:xao2ytacj6c2dw2viqy7yofm/app.bsky.feed.post/3kmhg7odhsa2t,kallakolumner.bsky.social,AKAB - all Kallas are beautiful,,"Meme Change my mind
Mann sitzt am Diskussionstisch, vor ihm das Plakat mit der Aufschrift ein Leben ohne SUV ist möglich aber sinnlos",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:xao2ytacj6c2dw2viqy7yofm/bafkreib4xgx5iwz6b2m6mhiwwhit2vt2p4eby7raa4fiifizoyl5gwhjxu@jpeg,101,6,8,2024-02-28T06:13:39.840Z,2024-02-28T06:13:39.840Z,https://bsky.app/profile/kallakolumner.bsky.social/post/3kmhg7odhsa2t,2025-12-10 14:34:07
bluesky,change my mind,change my mind meme,at://did:plc:o7xt7svg2xtjbb4e2xqahqqc/app.bsky.feed.post/3l4e6omjf242u,spavel.bsky.social,Pavel,,"The ""change my mind"" meme where a douchebag set up a debate desk on a college campus except his banner and face are obscured by the bluesky user blocked/posts hidden UI elements",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:o7xt7svg2xtjbb4e2xqahqqc/bafkreibs6piww4esranq77yg2zwgepvxhnptvmicvwg5y5xa2pcvy2w52y@jpeg,4999,1352,29,2024-09-17T14:04:01.008Z,2024-09-17T14:03:59.718Z,https://bsky.app/profile/spavel.bsky.social/post/3l4e6omjf242u,2025-12-10 14:34:30
bluesky,change my mind,change my mind meme,at://did:plc:4djfp3b27soxcfkxhirydi6d/app.bsky.feed.post/3l5ovf3wimf2s,standplaatskrk.pl,Standplaats Kraków could really use some cash!,,"Calvin at a lemonade stand: 
STEVEN CROWDER
DOES NOT
DESERVE
A MEME FORMAT
CHANGE MY MIND",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:4djfp3b27soxcfkxhirydi6d/bafkreiborqf4v7zjam4qsx5x5ujdptemksy7kqljt3lkjpupaxhi4goexq@jpeg,1318,354,8,2024-10-04T13:42:03.225Z,2024-10-04T13:42:03.225Z,https://bsky.app/profile/standplaatskrk.pl/post/3l5ovf3wimf2s,2025-12-10 14:34:32
bluesky,change my mind,change my mind meme,at://did:plc:syuzldzqctz7e4syg7iivjt5/app.bsky.feed.post/3lbn262sfg22x,mooseallain.bsky.social,Moose Allain,,"This is a reworking of the ‘Change my mind’ meme (from knowyourmeme.com: a photograph of American-Canadian conservative podcaster Steven Crowder seated behind a sign that reads ""Male Privilege is a myth / Change My Mind""). I have reworked it so that it is Rene Magritte sitting, with his famous ""Ceci n’est pas une pipe"" painting preceding the ‘change my mind’ phrase.",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:syuzldzqctz7e4syg7iivjt5/bafkreigkwcq5o5emf6edrongcil2k6en5rwgj2j7xayic2dwp2a2fk3jda@jpeg,279,49,5,2024-11-23T17:43:03.790Z,2024-11-23T17:43:05.954Z,https://bsky.app/profile/mooseallain.bsky.social/post/3lbn262sfg22x,2025-12-10 14:34:39
bluesky,change my mind,change my mind meme,at://did:plc:taanazbkwjlneh7fscohzzcf/app.bsky.feed.post/3lcht4axhr22l,archiv9.bsky.social,gelöscht,Der Typische Realo Grüne hätte vor 20 Jahren safe CDU gewählt,"Change My Mind Meme

Text Die Grünen und die CDU werden eine glückliche Koalition führen",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:taanazbkwjlneh7fscohzzcf/bafkreiagl4qfzv2ly2gkfeiybh2qdruzwzlqe3j3fmwwgej5aqqx66avkq@jpeg,124,7,15,2024-12-04T09:18:39.880Z,2024-12-04T09:18:42.454Z,https://bsky.app/profile/archiv9.bsky.social/post/3lcht4axhr22l,2025-12-10 14:34:40
bluesky,change my mind,change my mind meme,at://did:plc:3mnqheu35tmmmhj6gh26gfgr/app.bsky.feed.post/3ldg4tlowlk23,derluemml.bsky.social,Robert Steiner 🇪🇺 🇺🇦,"Wirtschaftskrise, Pflegenotstand, Teuerung, 2-Klassen-Medizin, Energie-Abhängigkeit, Pleitewelle, Rechtsruck, Budgetloch","Change-My-Mind-Meme:
Die ÖVP hat Österreich an die Wand gefahren.",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:3mnqheu35tmmmhj6gh26gfgr/bafkreifpbci6k2ibyeoilczz6753a5l2rrruri6ymc6abhw56lm4zelqxa@jpeg,151,32,7,2024-12-16T10:32:38.701Z,2024-12-16T10:32:39.852Z,https://bsky.app/profile/derluemml.bsky.social/post/3ldg4tlowlk23,2025-12-10 14:34:42
bluesky,change my mind,change my mind meme,at://did:plc:haz6djeevzufb4fhgeyesn4i/app.bsky.feed.post/3ldcn5frtrk2m,decolonizemyself.bsky.social,Decolonize Myself,"Condemning violence against the
capitalist class is Stockholm Syndrome
CHANGE MY MIND",Meme. Luigi Mangione outside sitting at desk with white poster infrastructure with black text. ,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:haz6djeevzufb4fhgeyesn4i/bafkreibqbxirxwe2tlmbjl57jcgvlfimo6lefl4ww4rf3mrxaea53r7x3e@jpeg,230,50,0,2024-12-15T01:13:48.953Z,2024-12-15T01:13:50.853Z,https://bsky.app/profile/decolonizemyself.bsky.social/post/3ldcn5frtrk2m,2025-12-10 14:34:42
bluesky,change my mind,change my mind meme,at://did:plc:ohrghfm2tnjqyyxjh5y3224n/app.bsky.feed.post/3ld4xdczjxs23,themckenziest.gay,Lauren McKenzie,=),"Guy sitting at the table meme but it’s Luigi Mangione and it says Condemning violence against the capitalist class is Stockholm Syndrome
CHANGE MY MIND",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:ohrghfm2tnjqyyxjh5y3224n/bafkreiclj5jpevivlvm5nosig5lnuwx22mkmiokqksgzuog7ea6he6nx5a@jpeg,246,53,6,2024-12-12T19:00:06.402Z,2024-12-12T19:00:09.257Z,https://bsky.app/profile/themckenziest.gay/post/3ld4xdczjxs23,2025-12-10 14:34:42
bluesky,change my mind,change my mind meme,at://did:plc:hstdhdrbnulfrdxbehk3ts75/app.bsky.feed.post/3ldr6glq3mk2y,dredd-dredderson.bsky.social,Dredd Dredderson 🖤🩶🤍💜,"I drew this in early 2013 and fucked up Baloo's eyes so badly in the original  that it became a little meme for a while. Anyway, Baloo is the OG husbear, don't try to change my mind",A drawing of Baloo from Talespin dancing naked for Shere Khan who is seen in the foreground masturbating to Baloo's chunky body.,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:hstdhdrbnulfrdxbehk3ts75/bafkreihdbtu2zdlajtq425ffdx6v5yvu5bmgozjosmyw2y4rhlgry2l75e@jpeg,210,40,2,2024-12-20T20:00:27.153Z,2024-12-20T20:00:31.455Z,https://bsky.app/profile/dredd-dredderson.bsky.social/post/3ldr6glq3mk2y,2025-12-10 14:34:43
bluesky,change my mind,change my mind meme,at://did:plc:czrfd5lpc2h4jlqlp75heop5/app.bsky.feed.post/3lezs5bfwuc2g,voxradicitus.bsky.social,☭🔻Watchdog🔻☭,Happy #SocialistSunday!,"A meme of the CEO Shooter sat at the often memed 'change my mind table' and the sign says:
Brian Thompson was a SERIAL KILLER
-------------------------------------
Change my mind",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:czrfd5lpc2h4jlqlp75heop5/bafkreigwd462vibzpbeqjprnb4xaogh3r6o265ma6wl4aye7koaigmpdkm@jpeg,260,57,5,2025-01-05T23:39:38.715Z,2025-01-05T23:39:45.348Z,https://bsky.app/profile/voxradicitus.bsky.social/post/3lezs5bfwuc2g,2025-12-10 14:34:45
