platform,meme_template,search_query,post_id,author_handle,author_display,caption,alt_text,image_url,likes,reposts,replies,created_at,indexed_at,post_url,collection_timestamp
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:4qdzg34xf7tu3h3owgyiaq7h/app.bsky.feed.post/3kl2um7z6wd2x,xanindigo.bsky.social,Anne Tifa,"恭喜發財!🍊🍊🍊

Happy year of the Dragon!
 
龍年快樂🐉","That meme with the woman yelling at the cat, except they're all dressed up and traditionally Chinese. The woman's yelling ""gong xi fa cai"" and the cat's saying ""gong hei fat choi""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:4qdzg34xf7tu3h3owgyiaq7h/bafkreihft6kjg22dvgolohjyadn4tcuvgxjx2mlpsgjxk3pspaqs2ctqxa@jpeg,112,35,3,2024-02-10T13:01:25.278Z,2024-02-10T13:01:25.278Z,https://bsky.app/profile/xanindigo.bsky.social/post/3kl2um7z6wd2x,2025-12-10 14:41:33
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:nveriwcateviqiophvrdxyul/app.bsky.feed.post/3krcqwtdgi22u,gors.bsky.social,Spriter Gors,"I'm addicted to #rejectedpalettes!! ❌🎨

#PixelArt","The lady yelling at cat meme, but in pixel art form. The blonde woman is next to a concerned purple-haired woman and is pointing at the green cat and saying ""Stop using Rejected Palettes for all your pixel art!!"". The green cat is captioned as ""Gors"" and looking back mischievously at the women.",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:nveriwcateviqiophvrdxyul/bafkreibg5s5xgfk6qpgkztn2r4ksrsloh76gdj2robgzvnegkli6lsb7mq@jpeg,130,32,5,2024-04-30T00:48:12.787Z,2024-04-30T00:48:12.787Z,https://bsky.app/profile/gors.bsky.social/post/3krcqwtdgi22u,2025-12-10 14:41:41
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:lf67ibjtgdis7zvcqk6pcofq/app.bsky.feed.post/3kr5qqwf7tm2e,heresiarch.bsky.social,heresiarch,,Woman yelling at cat meme with woman captioned “Magneto” and cat captioned “us court of international trade”,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:lf67ibjtgdis7zvcqk6pcofq/bafkreibj4ydyz7ltaytkc2s2rz5wduclwpwktk7dovuw4xxblzjve33n7i@jpeg,187,17,2,2024-04-28T01:01:37.006Z,2024-04-28T01:01:37.006Z,https://bsky.app/profile/heresiarch.bsky.social/post/3kr5qqwf7tm2e,2025-12-10 14:41:41
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:7umo3cbjz7fhcost4yqj6jbo/app.bsky.feed.post/3kw646hes2m2z,lyse.bsky.social,🎄⛄️ Lyse ⛄️🎄,"One of my favorite memes is the “woman yelling at cat” one, so when I saw this I almost choked on my drink","Wonderfully drawn Star Wars version of woman yelling at cat meme
Top panel: Anakin upset and pointing while being held back by Obi Wan
Bottom panel: a deviously smiling Yoda sitting at a table that he nearly clears with plate in front of him",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:7umo3cbjz7fhcost4yqj6jbo/bafkreiad4vshxa3bvwypvuxp62q76w7fgcqmfub4xzjc5ayxbmxp7tqk5e@jpeg,2937,617,32,2024-06-30T19:32:00.427Z,2024-06-30T19:32:00.427Z,https://bsky.app/profile/lyse.bsky.social/post/3kw646hes2m2z,2025-12-10 14:41:48
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:5o2jit6q2npxq7dgxpetih6k/app.bsky.feed.post/3l3twb4bskj2s,lostcitymagic.bsky.social,Neugin,Tonight's debate summary,Image is trump yelling at a calmly smiling kamala Harris looking exactly like the screaming woman at the cat meme,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:5o2jit6q2npxq7dgxpetih6k/bafkreigh6q5pc5w2b2mcdyz7ki4y4t4xnes257paybgxezouwy53aku25y@jpeg,114,17,0,2024-09-11T02:50:39.220Z,2024-09-11T02:50:39.220Z,https://bsky.app/profile/lostcitymagic.bsky.social/post/3l3twb4bskj2s,2025-12-10 14:41:55
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:yg4mn3sdoqmjeinutbwnxlij/app.bsky.feed.post/3l3j2rowa2n2l,fightingpride93.bsky.social,Jane,,"Car with the license plate ""IS💜ED""

Woman yelling at cat meme.

The woman yelling says ""Is loved""

The cat responds ""I sharted""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:yg4mn3sdoqmjeinutbwnxlij/bafkreidpfp6jqoe7urubx4q2okounnw5vxm3jgn35hzcsx6enxuecudea4@jpeg,189,39,5,2024-09-06T19:12:13.364Z,2024-09-06T19:12:13.364Z,https://bsky.app/profile/fightingpride93.bsky.social/post/3l3j2rowa2n2l,2025-12-10 14:41:55
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:y4zs4cabaezzwx3bz2e5nnj2/app.bsky.feed.post/3l4qngwgjku2e,georgetakei.bsky.social,George Takei,She memes well.,A social post from @Quarter_Jade that says: my mom decorated the apartments for the cats [Two paintings that emulate RHOBH's woman yelling at a cat meme],https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:y4zs4cabaezzwx3bz2e5nnj2/bafkreihgsb7ccuwsutemxwweufliectnptt4ciajj2whpnxnoolfqmj5ru@jpeg,506,53,3,2024-09-22T13:00:03.346Z,2024-09-22T13:00:03.346Z,https://bsky.app/profile/georgetakei.bsky.social/post/3l4qngwgjku2e,2025-12-10 14:41:56
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:63ma5g7m2klgwdxvpszfsayw/app.bsky.feed.post/3lapdrfvrvc2e,mrtechnodad.bsky.social,,,"Reinterpretation of the ""woman yells at cat"" meme with Technodad and Demeter yelling at Floof.",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:63ma5g7m2klgwdxvpszfsayw/bafkreie4i25skpbv4s6mwiaforiykr5wd7zs2fba3zync6hylmvwtgokpy@jpeg,208,27,5,2024-11-11T22:15:04.493Z,2024-11-11T22:15:05.623Z,https://bsky.app/profile/mrtechnodad.bsky.social/post/3lapdrfvrvc2e,2025-12-10 14:42:01
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:xydmw4rhlnb4mrz5eyw3z6ak/app.bsky.feed.post/3lbctvg6wxc2k,yesitscolin.bsky.social,Colin,What do you guys think of my new office setup?,"Two computer screens on a desk, one of which has wallpaper of the woman yelling at a cat from the famous meme, and the other with wallpaper of the cat",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:xydmw4rhlnb4mrz5eyw3z6ak/bafkreiasmkpahch6goov4kbhk5rhrlyqqzjleakw3ohxdironc7dgs4hwe@jpeg,9108,506,298,2024-11-19T16:24:13.912Z,2024-11-19T16:24:17.029Z,https://bsky.app/profile/yesitscolin.bsky.social/post/3lbctvg6wxc2k,2025-12-10 14:42:02
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:eyz5pvy3xot3q3tn3kq4iooi/app.bsky.feed.post/3lawig3ji5s27,pien-art.bsky.social,pien-art 🐞 commissions closed,"izutsumi !!! 
#dungeonmeshi #deliciousindungeon","A white page with 7 small digital drawings of Izutsumi from Dungeon Meshi. The drawings are yellow in color. The drawings are all cat memes, redrawn to look like Izutsumi. 
On the bottom left is a re-draw of a two-panel meme (upset woman yelling and pointing at a confused cat meme). In this drawing it is Marcille yelling at Izutsumi, with Sensi standing next to Marcille. ",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:eyz5pvy3xot3q3tn3kq4iooi/bafkreieq4nqduy7m7dmqhbim45s3gq35s6yeocpkio5e33mtjeggfkl2g4@jpeg,571,234,2,2024-11-14T18:26:51.387Z,2024-11-14T18:26:56.627Z,https://bsky.app/profile/pien-art.bsky.social/post/3lawig3ji5s27,2025-12-10 14:42:02
